Casino,Gross Receipts,Gross Retail Receipts,Gross Online Receipts,Date,Online_co,Betting Type,Month,Total
Blue Chip Casino,8222862,,"8,222,861.73",01-01-2021,BC - in.sportsbook.FanDuel.com,online,,
Blue Chip Casino,115250,"115,250.25",,01-01-2021,,Retail,,
Horseshoe Hammond,34008,,"34,007.68",01-01-2021,HH - in.CaesarsOnline.com,online,,
Horseshoe Hammond,98717,,"98,717.36",01-01-2021,HH - IN.Unibet.com,online,,
Horseshoe Hammond,797683,"797,683.07",,01-01-2021,,Retail*,,
Belterra Casino,3715427,,"3,715,427.21",01-01-2021,BT - Sports.IN.BetMGM.com,online,,
Belterra Casino,1294923,"1,294,923.00",,01-01-2021,,Retail,,
Caesars Southern Indiana,264334,"264,333.94",,01-01-2021,,Retail,,
French Lick Resort,828347,,"828,347.37",01-01-2021,FL - IN.betrivers.com,online,,
French Lick Resort,55225,"55,225.11",,01-01-2021,,Retail,,
Hollywood Lawrenceburg,1363145,,"1,363,145.30",01-01-2021,HW - IN.PointsBet.com,online,,
Hollywood Lawrenceburg,1845344,"1,845,343.70",,01-01-2021,,Retail,,
Rising Star Casino,21556,"21,556.07",,01-01-2021,,Retail,,
Rising Star Casino,11476,,"11,476.06",01-01-2021,RS - IN.BetAmerica.com,online,,
Tropicana Evansville,228400,"228,400.30",,01-01-2021,,Retail,,
Tropicana Evansville,543439,,"543,439.26",01-01-2021,TP - WilliamHill.com,online,,
Harrah's Hoosier Park,105646,"105,645.98",,01-01-2021,,Retail,,
Harrah's Hoosier Park,407446,"407,445.84",,01-01-2021,,Retail,,
Harrah's Hoosier Park,166119,"166,119.06",,01-01-2021,,Retail,,
Indiana Grand,227997,"227,996.88",,01-01-2021,,Retail,,
Indiana Grand,586425,"586,425.45",,01-01-2021,,Retail,,
,,,,,,,Jan-2021 Retail Total:,"7,355,981.22"
,,,,,,,Jan-2021 Online Total:,"24,312,196.51"
Ameristar Casino,AS - Sportsbook.DraftKings.com,,"3,741,468.88",02-01-2021,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,AS - theScore.bet,,"180,673.76",,AS - theScore.bet,online,,
Ameristar Casino,Retail,"176,175.87","176,175.87",,,Retail,,
Blue Chip Casino,BC - in.sportsbook.FanDuel.com,,"4,961,681.27",02-01-2021,BC - in.sportsbook.FanDuel.com,online,,
Blue Chip Casino,Retail,"-6,345.75","-6,345.75",,,Retail,,
Horseshoe Hammond,HH - in.CaesarsOnline.com,,"-20,062.27",02-01-2021,HH - in.CaesarsOnline.com,online,,
Horseshoe Hammond,HH - IN.Unibet.com,,"70,124.84",,HH - IN.Unibet.com,online,,
Horseshoe Hammond,Retail,"430,232.70","430,232.70",,,Retail,,
Belterra Casino,BT - Sports.IN.BetMGM.com,,"2,165,858.36",02-01-2021,BT - Sports.IN.BetMGM.com,online,,
Belterra Casino,Retail,"74,774.50","74,774.50",,,Retail,,
Caesars Southern Indiana,Retail,"190,629.87","190,629.87",02-01-2021,,Retail,,
French Lick Resort,FL - IN.betrivers.com,,"490,139.24",02-01-2021,FL - IN.betrivers.com,online,,
French Lick Resort,Retail,"41,981.02","41,981.02",,,Retail,,
Hollywood Lawrenceburg,HW - IN.PointsBet.com,,"1,283,631.68",02-01-2021,HW - IN.PointsBet.com,online,,
Hollywood Lawrenceburg,Retail,"878,123.55","878,123.55",,,Retail,,
Rising Star Casino,Retail,"8,925.16","8,925.16",02-01-2021,,Retail,,
Rising Star Casino,RS - IN.BetAmerica.com,,"3,327.79",,RS - IN.BetAmerica.com,online,,
Tropicana Evansville,Retail,"-23,515.96","-23,515.96",02-01-2021,,Retail,,
Tropicana Evansville,TP - WilliamHill.com,,"584,406.34",,TP - WilliamHill.com,online,,
Harrah's Hoosier Park,Retail,"-3,311.46","-3,311.46",02-01-2021,,Retail,,
Harrah's Hoosier Park,WC Downtown Indianapolis,"186,185.50","186,185.50",,,Retail,,
Harrah's Hoosier Park,WC New Haven,"30,893.04","30,893.04",,,Retail,,
Indiana Grand,Retail,"47,684.04","47,684.04",02-01-2021,,Retail,,
Indiana Grand,WC Clarksville,"373,460.58","373,460.58",,,Retail,,
,,,,,,,Feb-2021 Retail Total:,"2,405,892.66"
,,,,,,,Feb-2021 Online Total:,"13,461,249.89"
Ameristar Casino,AS - Sportsbook.DraftKings.com,,"8,479,903.87",03-01-2021,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,AS - theScore.bet,,"263,111.49",,AS - theScore.bet,online,,
Ameristar Casino,Retail,"560,418.31","560,418.31",,,Retail,,
Blue Chip Casino,BC - in.sportsbook.FanDuel.com,,"6,774,461.76",03-01-2021,BC - in.sportsbook.FanDuel.com,online,,
Blue Chip Casino,Retail,"157,726.54","157,726.54",,,Retail,,
Horseshoe Hammond,HH - in.CaesarsOnline.com,,"1,391.95",03-01-2021,HH - in.CaesarsOnline.com,online,,
Horseshoe Hammond,HH - IN.Unibet.com,,"139,282.54",,HH - IN.Unibet.com,online,,
Horseshoe Hammond,Retail,"338,563.17","338,563.17",,,Retail,,
Belterra Casino,BT - Sports.IN.BetMGM.com,,"3,597,617.59",03-01-2021,BT - Sports.IN.BetMGM.com,online,,
Belterra Casino,Retail,"131,913.00","131,913.00",,,Retail,,
Caesars Southern Indiana,Retail,"340,836.01","340,836.01",03-01-2021,,Retail,,
French Lick Resort,FL - IN.betrivers.com,,"829,033.92",03-01-2021,FL - IN.betrivers.com,online,,
French Lick Resort,Retail,"47,078.77","47,078.77",,,Retail,,
Hollywood Lawrenceburg,HW - IN.PointsBet.com,,"1,658,267.04",03-01-2021,HW - IN.PointsBet.com,online,,
Hollywood Lawrenceburg,Retail,"1,659,156.15","1,659,156.15",,,Retail,,
Rising Star Casino,Retail,"51,811.89","51,811.89",03-01-2021,,Retail,,
Rising Star Casino,RS - IN.BetAmerica.com,,"1,190.88",,RS - IN.BetAmerica.com,online,,
Rising Star Casino,RS - WynnBet.com,,0.00,,RS - WynnBet.com,online,,
Tropicana Evansville,Retail,"271,715.81","271,715.81",03-01-2021,,Retail,,
Tropicana Evansville,TP - WilliamHill.com,,"879,576.50",,TP - WilliamHill.com,online,,
Harrah's Hoosier Park,Retail,"173,828.73","173,828.73",03-01-2021,,Retail,,
Harrah's Hoosier Park,WC Downtown Indianapolis,"283,113.24","283,113.24",,,Retail,,
Harrah's Hoosier Park,WC New Haven,"134,933.77","134,933.77",,,Retail,,
Indiana Grand,Retail,"130,946.11","130,946.11",03-01-2021,,Retail,,
Indiana Grand,WC Clarksville,"515,129.07","515,129.07",,,Retail,,
,,,,,,,Mar-2021 Retail Total:,"4,797,170.57"
,,,,,,,Mar-2021 Online Total:,"22,623,837.54"
Ameristar Casino,AS - Sportsbook.DraftKings.com,,"6,104,862.88",04-01-2021,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,AS - theScore.bet,,"128,670.20",,AS - theScore.bet,online,,
Ameristar Casino,Retail,"770,755.81","770,755.81",,,Retail,,
Blue Chip Casino,BC - in.sportsbook.FanDuel.com,,"5,686,722.85",04-01-2021,BC - in.sportsbook.FanDuel.com,online,,
Blue Chip Casino,Retail,"21,281.00","21,281.00",,,Retail,,
Horseshoe Hammond,HH - in.CaesarsOnline.com,,"-2,166.50",04-01-2021,HH - in.CaesarsOnline.com,online,,
Horseshoe Hammond,HH - IN.Unibet.com,,"23,883.72",,HH - IN.Unibet.com,online,,
Horseshoe Hammond,Retail,"-16,640.35","-16,640.35",,,Retail,,
Belterra Casino,BT - Sports.IN.BetMGM.com,,"3,074,268.87",04-01-2021,BT - Sports.IN.BetMGM.com,online,,
Belterra Casino,Retail,"26,030.25","26,030.25",,,Retail,,
Caesars Southern Indiana,Retail,"111,374.20","111,374.20",04-01-2021,,Retail,,
French Lick Resort,FL - IN.betrivers.com,,"381,974.67",04-01-2021,FL - IN.betrivers.com,online,,
French Lick Resort,Retail,"-17,690.12","-17,690.12",,,Retail,,
Hollywood Lawrenceburg,HW - IN.PointsBet.com,,"794,476.15",04-01-2021,HW - IN.PointsBet.com,online,,
Hollywood Lawrenceburg,Retail,"1,335,715.81","1,335,715.81",,,Retail,,
Rising Star Casino,Retail,"9,040.35","9,040.35",04-01-2021,,Retail,,
Rising Star Casino,RS - in.TwinSpires.com,,"-8,928.78",,RS - in.TwinSpires.com,online,,
Rising Star Casino,RS - WynnBet.com,,"47,205.99",,RS - WynnBet.com,online,,
Tropicana Evansville,Retail,"126,063.75","126,063.75",04-01-2021,,Retail,,
Tropicana Evansville,TP - WilliamHill.com,,"378,829.76",,TP - WilliamHill.com,online,,
Harrah's Hoosier Park,Retail,"73,733.62","73,733.62",04-01-2021,,Retail,,
Harrah's Hoosier Park,WC Downtown Indianapolis,"196,732.43","196,732.43",,,Retail,,
Harrah's Hoosier Park,WC New Haven,"86,218.54","86,218.54",,,Retail,,
Indiana Grand,Retail,"24,259.84","24,259.84",04-01-2021,,Retail,,
Indiana Grand,WC Clarksville,"333,644.60","333,644.60",,,Retail,,
,,,,,,,April-2021 Retail Total:,"3,080,519.73"
,,,,,,,Apr-2021 Online Total:,"16,609,799.81"
Ameristar Casino,AS - Sportsbook.DraftKings.com,,"2,944,532.00",05-01-2021,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,AS - theScore.bet,,"125,728.59",,AS - theScore.bet,online,,
Ameristar Casino,Retail,"657,025.88","657,025.88",,,Retail,,
Blue Chip Casino,BC - in.sportsbook.FanDuel.com,,"7,636,128.04",05-01-2021,BC - in.sportsbook.FanDuel.com,online,,
Blue Chip Casino,Retail,"36,941.75","36,941.75",,,Retail,,
Horseshoe Hammond,HH - in.CaesarsOnline.com,,-135.54,05-01-2021,HH - in.CaesarsOnline.com,online,,
Horseshoe Hammond,HH - IN.Unibet.com,,"83,088.58",,HH - IN.Unibet.com,online,,
Horseshoe Hammond,Retail,"203,479.94","203,479.94",,,Retail,,
Belterra Casino,BT - BetWay.com,,-161.29,05-01-2021,BT - BetWay.com,online,,
Belterra Casino,BT - Sports.IN.BetMGM.com,,"2,520,088.20",,BT - Sports.IN.BetMGM.com,online,,
Belterra Casino,Retail,"42,502.75","42,502.75",,,Retail,,
Caesars Southern Indiana,Retail,"47,303.41","47,303.41",05-01-2021,,Retail,,
French Lick Resort,FL - IN.betrivers.com,,"438,228.74",05-01-2021,FL - IN.betrivers.com,online,,
French Lick Resort,Retail,"6,238.54","6,238.54",,,Retail,,
Hollywood Lawrenceburg,HW - BarstoolSportbook.com,,"267,511.99",05-01-2021,HW - BarstoolSportbook.com,online,,
Hollywood Lawrenceburg,HW - IN.PointsBet.com,,"1,008,729.99",,HW - IN.PointsBet.com,online,,
Hollywood Lawrenceburg,Retail,"784,869.24","784,869.24",,,Retail,,
Rising Star Casino,Retail,"-22,707.60","-22,707.60",05-01-2021,,Retail,,
Rising Star Casino,RS - in.TwinSpires.com,,"53,878.00",,RS - in.TwinSpires.com,online,,
Rising Star Casino,RS - WynnBet.com,,"56,074.48",,RS - WynnBet.com,online,,
Tropicana Evansville,Retail,"90,219.88","90,219.88",05-01-2021,,Retail,,
Tropicana Evansville,TP - WilliamHill.com,,"173,884.73",,TP - WilliamHill.com,online,,
Harrah's Hoosier Park,Retail,"91,459.35","91,459.35",05-01-2021,,Retail,,
Harrah's Hoosier Park,WC Downtown Indianapolis,"238,823.89","238,823.89",,,Retail,,
Harrah's Hoosier Park,WC New Haven,"84,143.45","84,143.45",,,Retail,,
Indiana Grand,Retail,"121,093.18","121,093.18",05-01-2021,,Retail,,
Indiana Grand,WC Clarksville,"322,368.53","322,368.53",,,Retail,,
,,,,,,,May-2021 Retail Total:,"2,703,762.19"
,,,,,,,May-2021 Online Total:,"15,307,576.51"
Ameristar Casino,AS - Sportsbook.DraftKings.com,,"6,190,833.28",06-01-2021,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,AS - theScore.bet,,"41,678.20",,AS - theScore.bet,online,,
Ameristar Casino,Retail,"696,266.90","696,266.90",,,Retail,,
Blue Chip Casino,BC - in.sportsbook.FanDuel.com,,"9,067,048.77",06-01-2021,BC - in.sportsbook.FanDuel.com,online,,
Blue Chip Casino,Retail,"136,971.25","136,971.25",,,Retail,,
Horseshoe Hammond,HH - in.CaesarsOnline.com,,-450.00,06-01-2021,HH - in.CaesarsOnline.com,online,,
Horseshoe Hammond,HH - IN.Unibet.com,,"53,947.40",,HH - IN.Unibet.com,online,,
Horseshoe Hammond,Retail,"662,008.78","662,008.78",,,Retail,,
Belterra Casino,BT - BetWay.com,,-25.03,06-01-2021,BT - BetWay.com,online,,
Belterra Casino,BT - Sports.IN.BetMGM.com,,"3,241,588.65",,BT - Sports.IN.BetMGM.com,online,,
Belterra Casino,Retail,"14,743.00","14,743.00",,,Retail,,
Caesars Southern Indiana,Retail,"207,663.09","207,663.09",06-01-2021,,Retail,,
French Lick Resort,FL - IN.betrivers.com,,"600,923.64",06-01-2021,FL - IN.betrivers.com,online,,
French Lick Resort,Retail,"76,707.87","76,707.87",,,Retail,,
Hollywood Lawrenceburg,HW - BarstoolSportbook.com,,"33,167.37",06-01-2021,HW - BarstoolSportbook.com,online,,
Hollywood Lawrenceburg,HW - IN.PointsBet.com,,"885,811.62",,HW - IN.PointsBet.com,online,,
Hollywood Lawrenceburg,Retail,"832,390.75","832,390.75",,,Retail,,
Rising Star Casino,Retail,"9,403.85","9,403.85",06-01-2021,,Retail,,
Rising Star Casino,RS - in.TwinSpires.com,,"80,162.26",,RS - in.TwinSpires.com,online,,
Rising Star Casino,RS - WynnBet.com,,"81,738.30",,RS - WynnBet.com,online,,
Tropicana Evansville,Retail,"96,154.68","96,154.68",06-01-2021,,Retail,,
Tropicana Evansville,TP - WilliamHill.com,,"3,009,429.47",,TP - WilliamHill.com,online,,
Harrah's Hoosier Park,Retail,"-12,404.36","-12,404.36",06-01-2021,,Retail,,
Harrah's Hoosier Park,WC Downtown Indianapolis,"200,174.16","200,174.16",,,Retail,,
Harrah's Hoosier Park,WC New Haven,"89,155.93","89,155.93",,,Retail,,
Indiana Grand,Retail,"138,298.84","138,298.84",06-01-2021,,Retail,,
Indiana Grand,WC Clarksville,"315,413.88","315,413.88",,,Retail,,
,,,,,,,Jun-2021 Retail Total:,"3,462,948.62"
,,,,,,,Jun-2021 Online Total:,"23,285,853.93"
Ameristar Casino,AS - Sportsbook.DraftKings.com,,"4,739,261.34",07-01-2021,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,AS - theScore.bet,,"73,512.08",,AS - theScore.bet,online,,
Ameristar Casino,Retail,"354,648.02","354,648.02",,,Retail,,
Blue Chip Casino,BC - in.sportsbook.FanDuel.com,,"5,294,976.46",07-01-2021,BC - in.sportsbook.FanDuel.com,online,,
Blue Chip Casino,Retail,"28,018.00","28,018.00",,,Retail,,
Horseshoe Hammond,HH - in.CaesarsOnline.com,,"-1,058.50",07-01-2021,HH - in.CaesarsOnline.com,online,,
Horseshoe Hammond,HH - IN.Unibet.com,,"80,444.15",,HH - IN.Unibet.com,online,,
Horseshoe Hammond,Retail,"163,699.91","163,699.91",,,Retail,,
Belterra Casino,BT - BetWay.com,,"-5,042.89",07-01-2021,BT - BetWay.com,online,,
Belterra Casino,BT - Sports.IN.BetMGM.com,,"2,191,950.95",,BT - Sports.IN.BetMGM.com,online,,
Belterra Casino,Retail,"27,069.75","27,069.75",,,Retail,,
Caesars Southern Indiana,Retail,"119,242.65","119,242.65",07-01-2021,,Retail,,
French Lick Resort,FL - IN.betrivers.com,,"659,187.43",07-01-2021,FL - IN.betrivers.com,online,,
French Lick Resort,Retail,"29,382.99","29,382.99",,,Retail,,
Hollywood Lawrenceburg,HW - BarstoolSportbook.com,,"463,462.14",07-01-2021,HW - BarstoolSportbook.com,online,,
Hollywood Lawrenceburg,HW - IN.PointsBet.com,,"747,400.32",,HW - IN.PointsBet.com,online,,
Hollywood Lawrenceburg,Retail,"1,207,309.65","1,207,309.65",,,Retail,,
Rising Star Casino,Retail,233.57,233.57,07-01-2021,,Retail,,
Rising Star Casino,RS - in.TwinSpires.com,,"60,152.51",,RS - in.TwinSpires.com,online,,
Rising Star Casino,RS - WynnBet.com,,"109,614.46",,RS - WynnBet.com,online,,
Tropicana Evansville,Retail,"12,838.84","12,838.84",07-01-2021,,Retail,,
Tropicana Evansville,TP - WilliamHill.com,,"228,926.67",,TP - WilliamHill.com,online,,
Harrah's Hoosier Park,Retail,"1,863.18","1,863.18",07-01-2021,,Retail,,
Harrah's Hoosier Park,WC Downtown Indianapolis,"247,737.65","247,737.65",,,Retail,,
Harrah's Hoosier Park,WC New Haven,"90,429.63","90,429.63",,,Retail,,
Indiana Grand,Retail,"48,785.59","48,785.59",07-01-2021,,Retail,,
Indiana Grand,WC Clarksville,"250,989.82","250,989.82",,,Retail,,
,,,,,,,Jul-2021 Retail Total:,"2,582,249.25"
,,,,,,,Jul-2021 Online Total:,"14,642,787.12"
Ameristar Casino,AS - Sportsbook.DraftKings.com,,"4,407,439.53",08-01-2021,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,AS - theScore.bet,,"-28,776.49",,AS - theScore.bet,online,,
Ameristar Casino,Retail,"251,385.45","251,385.45",,,Retail,,
Blue Chip Casino,BC - in.sportsbook.FanDuel.com,,"4,914,234.28",08-01-2021,BC - in.sportsbook.FanDuel.com,online,,
Blue Chip Casino,Retail,"78,497.25","78,497.25",,,Retail,,
Horseshoe Hammond,HH - in.CaesarsOnline.com,,0.00,08-01-2021,HH - in.CaesarsOnline.com,online,,
Horseshoe Hammond,HH - IN.Unibet.com,,"22,299.92",,HH - IN.Unibet.com,online,,
Horseshoe Hammond,Retail,"294,933.76","294,933.76",,,Retail,,
Belterra Casino,BT - BetWay.com,,"-5,080.97",08-01-2021,BT - BetWay.com,online,,
Belterra Casino,BT - Sports.IN.BetMGM.com,,"2,518,637.25",,BT - Sports.IN.BetMGM.com,online,,
Belterra Casino,Retail,"54,272.50","54,272.50",,,Retail,,
Caesars Southern Indiana,Retail,"161,750.45","161,750.45",08-01-2021,,Retail,,
French Lick Resort,FL - IN.betrivers.com,,"409,812.02",08-01-2021,FL - IN.betrivers.com,online,,
French Lick Resort,Retail,"29,553.21","29,553.21",,,Retail,,
Hollywood Lawrenceburg,HW - BarstoolSportbook.com,,"347,061.97",08-01-2021,HW - BarstoolSportbook.com,online,,
Hollywood Lawrenceburg,HW - IN.PointsBet.com,,"574,087.08",,HW - IN.PointsBet.com,online,,
Hollywood Lawrenceburg,Retail,"959,027.04","959,027.04",,,Retail,,
Rising Star Casino,Retail,"7,463.54","7,463.54",08-01-2021,,Retail,,
Rising Star Casino,RS - in.TwinSpires.com,,"37,866.06",,RS - in.TwinSpires.com,online,,
Rising Star Casino,RS - WynnBet.com,,"77,443.34",,RS - WynnBet.com,online,,
Tropicana Evansville,Retail,"48,020.91","48,020.91",08-01-2021,,Retail,,
Tropicana Evansville,TP - WilliamHill.com,,"977,285.93",,TP - WilliamHill.com,online,,
Harrah's Hoosier Park,Retail,"38,708.66","38,708.66",08-01-2021,,Retail,,
Harrah's Hoosier Park,WC Downtown Indianapolis,"181,419.81","181,419.81",,,Retail,,
Harrah's Hoosier Park,WC New Haven,"50,604.36","50,604.36",,,Retail,,
Indiana Grand,Retail,"105,322.78","105,322.78",08-01-2021,,Retail,,
Indiana Grand,WC Clarksville,"191,168.13","191,168.13",,,Retail,,
,,,,,,,Aug-2021 Retail Total:,"2,452,127.85"
,,,,,,,Aug-2021 Online Total:,"14,252,309.92"
Ameristar Casino,AS - Sportsbook.DraftKings.com,,"7,169,326.02",09-01-2021,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,AS - theScore.bet,,"367,218.31",,AS - theScore.bet,online,,
Ameristar Casino,Retail,"769,956.24","769,956.24",,,Retail,,
Blue Chip Casino,BC - in.sportsbook.FanDuel.com,,"10,617,723.94",09-01-2021,BC - in.sportsbook.FanDuel.com,online,,
Blue Chip Casino,Retail,"105,563.43","105,563.43",,,Retail,,
Horseshoe Hammond,HH - in.CaesarsOnline.com,,0.00,09-01-2021,HH - in.CaesarsOnline.com,online,,
Horseshoe Hammond,HH - IN.Unibet.com,,"54,315.41",,HH - IN.Unibet.com,online,,
Horseshoe Hammond,Retail,"513,892.19","513,892.19",,,Retail,,
Belterra Casino,BT - BetWay.com,,"44,979.69",09-01-2021,BT - BetWay.com,online,,
Belterra Casino,BT - Sports.IN.BetMGM.com,,"4,542,811.23",,BT - Sports.IN.BetMGM.com,online,,
Belterra Casino,Retail,"161,375.59","161,375.59",,,Retail,,
Caesars Southern Indiana,Retail,"348,009.27","348,009.27",09-01-2021,,Retail,,
French Lick Resort,FL - IN.betrivers.com,,"597,565.81",09-01-2021,FL - IN.betrivers.com,online,,
French Lick Resort,Retail,"63,135.95","63,135.95",,,Retail,,
Hollywood Lawrenceburg,HW - BarstoolSportbook.com,,"1,542,711.32",09-01-2021,HW - BarstoolSportbook.com,online,,
Hollywood Lawrenceburg,HW - IN.PointsBet.com,,"1,121,847.64",,HW - IN.PointsBet.com,online,,
Hollywood Lawrenceburg,Retail,"2,283,847.68","2,283,847.68",,,Retail,,
Rising Star Casino,Retail,"29,791.26","29,791.26",09-01-2021,,Retail,,
Rising Star Casino,RS - in.TwinSpires.com,,"85,460.66",,RS - in.TwinSpires.com,online,,
Rising Star Casino,RS - WynnBet.com,,"313,478.18",,RS - WynnBet.com,online,,
Tropicana Evansville,Retail,"272,477.85","272,477.85",09-01-2021,,Retail,,
Harrah's Hoosier Park,Retail*,"218,261.30","218,261.30",09-01-2021,,Retail,,
Harrah's Hoosier Park,HP - WilliamHill.com*,,"719,109.50",,HP - WilliamHill.com*,online,,
Harrah's Hoosier Park,WC Downtown Indianapolis*,"290,598.66","290,598.66",,,Retail,,
Harrah's Hoosier Park,WC New Haven*,"184,528.79","184,528.79",,,Retail,,
Indiana Grand,Retail,"273,166.68","273,166.68",09-01-2021,,Retail,,
Indiana Grand,WC Clarksville,"615,953.21","615,953.21",,,Retail,,
,,,,,,,Sep-2021 Retail Total:,"6,130,558.10"
,,,,,,,Sep-2021 Online Total:,"27,176,547.71"
Ameristar Casino,AS - Sportsbook.DraftKings.com,,"7,813,463.27",10-01-2021,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,AS - theScore.bet,,"622,446.82",,AS - theScore.bet,online,,
Ameristar Casino,Retail,"340,498.01","340,498.01",,,Retail,,
Blue Chip Casino,BC - in.sportsbook.FanDuel.com,,"9,234,778.73",10-01-2021,BC - in.sportsbook.FanDuel.com,online,,
Blue Chip Casino,Retail,"270,450.75","270,450.75",,,Retail,,
Horseshoe Hammond,HH - in.CaesarsOnline.com,,0.00,10-01-2021,HH - in.CaesarsOnline.com,online,,
Horseshoe Hammond,HH - IN.Unibet.com,,"-22,781.49",,HH - IN.Unibet.com,online,,
Horseshoe Hammond,Retail,"426,747.54","426,747.54",,,Retail,,
Bally's Evansville,Retail,"188,190.00","188,190.00",10-01-2021,,Retail,,
Belterra Casino,BT - BetWay.com,,"37,034.76",10-01-2021,BT - BetWay.com,online,,
Belterra Casino,BT - Sports.IN.BetMGM.com,,"3,470,384.55",,BT - Sports.IN.BetMGM.com,online,,
Belterra Casino,Retail,"117,851.18","117,851.18",,,Retail,,
Caesars Southern Indiana,Retail,"-52,245.28","-52,245.28",10-01-2021,,Retail,,
French Lick Resort,FL - IN.betrivers.com,,"767,393.34",10-01-2021,FL - IN.betrivers.com,online,,
French Lick Resort,Retail,"77,397.31","77,397.31",,,Retail,,
Hollywood Lawrenceburg,HW - BarstoolSportbook.com,,"689,882.87",10-01-2021,HW - BarstoolSportbook.com,online,,
Hollywood Lawrenceburg,HW - IN.PointsBet.com,,"819,701.99",,HW - IN.PointsBet.com,online,,
Hollywood Lawrenceburg,Retail,"972,752.34","972,752.34",,,Retail,,
Rising Star Casino,Retail,"49,586.05","49,586.05",10-01-2021,,Retail,,
Rising Star Casino,RS - in.TwinSpires.com,,"180,188.35",,RS - in.TwinSpires.com,online,,
Rising Star Casino,RS - WynnBet.com,,"278,764.11",,RS - WynnBet.com,online,,
Harrah's Hoosier Park,Retail*,"168,858.56","168,858.56",10-01-2021,,Retail,,
Harrah's Hoosier Park,HP - WilliamHill.com*,,"435,658.12",,HP - WilliamHill.com*,online,,
Harrah's Hoosier Park,WC Downtown Indianapolis*,"122,456.22","122,456.22",,,Retail,,
Harrah's Hoosier Park,WC New Haven*,"218,556.75","218,556.75",,,Retail,,
Indiana Grand,Retail,"162,495.14","162,495.14",10-01-2021,,Retail,,
Indiana Grand,WC Clarksville,"447,961.77","447,961.77",,,Retail,,
,,,,,,,Oct-2021 Retail Total:,"3,511,556.34"
,,,,,,,OCt-2021 Online Total:,"24,326,915.42"
Ameristar Casino,AS - Sportsbook.DraftKings.com,,"12,562,072.78",11-01-2021,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,AS - theScore.bet,,"281,641.22",,AS - theScore.bet,online,,
Ameristar Casino,Retail,"746,344.59","746,344.59",,,Retail,,
Blue Chip Casino,BC - in.sportsbook.FanDuel.com,,"15,596,392.78",11-01-2021,BC - in.sportsbook.FanDuel.com,online,,
Blue Chip Casino,Retail,"139,160.75","139,160.75",,,Retail,,
Horseshoe Hammond,HH - in.CaesarsOnline.com,,0.00,11-01-2021,HH - in.CaesarsOnline.com,online,,
Horseshoe Hammond,HH - IN.Unibet.com,,"325,266.62",,HH - IN.Unibet.com,online,,
Horseshoe Hammond,Retail,"944,776.16","944,776.16",,,Retail,,
Bally's Evansville,Retail,"260,319.70","260,319.70",11-01-2021,,Retail,,
Belterra Casino,BT - BetWay.com,,"-32,990.32",11-01-2021,BT - BetWay.com,online,,
Belterra Casino,BT - Sports.IN.BetMGM.com,,"4,502,255.43",,BT - Sports.IN.BetMGM.com,online,,
Belterra Casino,Retail,"75,873.00","75,873.00",,,Retail,,
Caesars Southern Indiana,Retail,"611,900.25","611,900.25",11-01-2021,,Retail,,
French Lick Resort,FL - IN.betrivers.com,,"1,042,128.03",11-01-2021,FL - IN.betrivers.com,online,,
French Lick Resort,Retail,"42,012.19","42,012.19",,,Retail,,
Hollywood Lawrenceburg,HW - BarstoolSportbook.com,,"1,635,508.63",11-01-2021,HW - BarstoolSportbook.com,online,,
Hollywood Lawrenceburg,HW - IN.PointsBet.com,,"962,700.69",,HW - IN.PointsBet.com,online,,
Hollywood Lawrenceburg,Retail,"2,809,487.38","2,809,487.38",,,Retail,,
Rising Star Casino,Retail,"55,719.01","55,719.01",11-01-2021,,Retail,,
Rising Star Casino,RS - in.TwinSpires.com,,"197,329.99",,RS - in.TwinSpires.com,online,,
Rising Star Casino,RS - WynnBet.com,,"281,620.05",,RS - WynnBet.com,online,,
Harrah's Hoosier Park,Retail,"128,336.57","128,336.57",11-01-2021,,Retail,,
Harrah's Hoosier Park,HP - WilliamHill.com,,"2,969,932.74",,HP - WilliamHill.com,online,,
Harrah's Hoosier Park,WC Downtown Indianapolis,"350,768.52","350,768.52",,,Retail,,
Harrah's Hoosier Park,WC New Haven,"269,054.28","269,054.28",,,Retail,,
Indiana Grand,Retail,"261,686.78","261,686.78",11-01-2021,,Retail,,
Indiana Grand,WC Clarksville,"796,078.95","796,078.95",,,Retail,,
,,,,,,,Nov-2021 Retail Total:,"7,491,518.13"
,,,,,,,Nov-2021 Online Total:,"40,323,858.64"
Ameristar Casino,AS - Sportsbook.DraftKings.com,,"6,425,977.72",12-01-2021,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,AS - theScore.bet,,"116,905.91",,AS - theScore.bet,online,,
Ameristar Casino,Retail,"269,312.30","269,312.30",,,Retail,,
Blue Chip Casino,BC - in.sportsbook.FanDuel.com,,"7,490,780.68",12-01-2021,BC - in.sportsbook.FanDuel.com,online,,
